"['Praise You', 'Fatboy Slim']"
"['You Can Do It', 'Ice Cube Featuring Mack 10 & Ms. Toi']"
"['Shower', 'Becky G']"
"['Lay It All On Me', 'Rudimental Featuring Ed Sheeran']"
"['Not Myself Tonight', 'Christina Aguilera']"
"['Sparks Fly', 'Taylor Swift']"
"['Honey Bee', 'Blake Shelton']"
"['Wild Things', 'Alessia Cara']"
"['She Talks To Angels', 'The Black Crowes']"
"['Feedback', 'Kanye West']"
"['Wish You Were Here', 'Avril Lavigne']"
"['Different For Girls', 'Dierks Bentley Featuring Elle King']"
"['Enjoy The Silence', 'Depeche Mode']"
"['Childs Play', 'Drake']"
"['Victory', 'Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh']"
"['Save Room', 'John Legend']"
"['Somebody To Love', 'Justin Bieber Featuring Usher']"
"['1942 Flows', 'Meek Mill']"
"['Rich & Sad', 'Post Malone']"
"['Plain Jane', 'A$AP Ferg Featuring Nicki Minaj']"
"['You Walked In', 'Lonestar']"
"['Right Down To It', 'Damian Dame']"
"['The Greatest Romance Ever Sold', 'Prince']"
"['Most Girls', 'Hailee Steinfeld']"
"['This & That', 'Michael Penn']"
"[""Let's Talk About Sex"", 'Salt-N-Pepa']"
"['Like I Can', 'Sam Smith']"
"['Be Real', 'Kid Ink Featuring DeJ Loaf']"
"['The Old Apartment', 'Barenaked Ladies']"
"['Senorita', 'Justin Timberlake']"
"[""Hollywood's Not America"", 'Ferras']"
"['Stunt 101', 'G Unit']"
"[""I'm So Paid"", 'Akon Featuring Lil Wayne & Young Jeezy']"
"['Freedom', 'George Michael']"
"['Hookah', 'Tyga Featuring Young Thug']"
"['Scared To Be Lonely', 'Martin Garrix & Dua Lipa']"
"['Every Light In The House', 'Trace Adkins']"
"['Codeine Dreaming', 'Kodak Black Featuring Lil Wayne']"
"['Jack-Ass', 'Beck']"
"['You Said', 'Mona Lisa']"
"[""My Lovin' (You're Never Gonna Get It)"", 'En Vogue']"
"['If You Go', 'Jon Secada']"
"[""I'm Yours"", 'Jason Mraz']"
"['No Leaf Clover', 'Metallica']"
"['Hurricane', 'Luke Combs']"
"['Die A Happy Man', 'Nelly']"
"[""Can't Get Enough"", 'Patty Loveless']"
"[""She's My Kind Of Rain"", 'Tim McGraw']"
"['Do It To It', 'Cherish Featuring Sean Paul Of The YoungBloodZ']"
"['Love You All My Lifetime', 'Chaka Khan']"
"['We Found Love', 'Glee Cast']"
"[""Can't Get You Off My Mind"", 'Lenny Kravitz']"
"['She Is Love', 'Parachute']"
"['Tell Me Something Bad About Tulsa', 'George Strait']"
"['Come Back To Me', 'David Cook']"
"['All Woman', 'Lisa Stansfield']"
"['Give It Away', 'George Strait']"
"[""Comin' To Your City"", 'Big & Rich']"
"['Pretty Wings', 'Maxwell']"
"['New Americana', 'Halsey']"
"['Swing, Swing', 'The All-American Rejects']"
"['Husbands And Wives', 'Brooks & Dunn']"
"['No One Else On Earth', 'Wynonna']"
"['Make Love Like A Man', 'Def Leppard']"
"['Fine Again', 'Seether']"
"['Paralyzer', 'Finger Eleven']"
"['Welcome To New York', 'Taylor Swift']"
"['Alone Together', 'Fall Out Boy']"
"['Candy', 'Mandy Moore']"
"['Sometimes She Cries', 'Warrant']"
"[""Say You'll Stay"", 'KAI']"
"['Gyalchester', 'Drake']"
"['Touch Me Tease Me (From ""The Nutty Professor"")', 'Case Featuring Foxxy Brown']"
"['Confessions Part II', 'Usher']"
"['Play', 'David Banner']"
"['Deja Vu', 'J. Cole']"
"['Barbie Girl', 'Aqua']"
"['Diary Of A Madman', 'Gravediggaz']"
"['Twisted', 'Keith Sweat']"
"['Team', 'Lorde']"
"['Love Shack', 'The B-52s']"
"['Rump Shaker', 'Wreckx-N-Effect']"
"['Hey Man Nice Shot', 'Filter']"
"['Fireman', 'Lil Wayne']"
"['Glitter In The Air', 'P!nk']"
"['Promises', 'NERO']"
"['No Surprise', 'Daughtry']"
"['Need You Now', 'Lady Antebellum']"
"['Get Your Groove On (From ""Baps"")', 'Gyrl']"
"['Watch For The Hook', 'Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor']"
"['1-Luv', 'E-40 (Featuring Leviti)']"
"['Gold Digger', 'Kanye West Featuring Jamie Foxx']"
"['Me And God', 'Josh Turner']"
"['Make Me Proud', 'Drake Featuring Nicki Minaj']"
"['Falling Down', 'Selena Gomez & The Scene']"
"['On And On', 'Shyheim']"
"['Love The Way You Lie', 'Eminem Featuring Rihanna']"
"['Vision Of Love', 'Mariah Carey']"
"['I Love You Period', 'Dan Baird']"
"['Seventeen Forever', 'Metro Station']"
"['Nothing Without Love', 'Nate Ruess']"
"['Universal Heart-Beat', 'Juliana Hatfield']"
"['In The Meantime', 'Spacehog']"
"['You Suck', 'The Murmurs']"
"[""Can't Cry Hard Enough"", 'The Williams Brothers']"
"['Almost Hear You Sigh', 'The Rolling Stones']"
"['Walk On By', 'Sybil']"
"['All Along', 'Blessid Union Of Souls']"
"['More And More', 'Captain Hollywood Project']"
"[""I'm So Happy I Can't Stop Crying"", 'Sting']"
"['I Saw You Dancing', 'Yaki-Da']"
"['Why They Call It Falling', 'Lee Ann Womack']"
"['Old Alabama', 'Brad Paisley Featuring Alabama']"
"['Sour Girl', 'Stone Temple Pilots']"
"['Tha Crossroads', 'Bone Thugs-N-Harmony']"
"['Toxic', 'Glee Cast']"
"['For Her', 'Chris Lane']"
"['Megalomaniac', 'Incubus']"
"[""(She's) Some Kind Of Wonderful"", 'Huey Lewis & The News']"
"['Mud On The Tires', 'Brad Paisley']"
"[""I Don't Ever Want To See You Again"", 'Uncle Sam']"
"['Just In Case', 'Jaheim']"
"['Top Back', 'T.I.']"
"['It Happens', 'Sugarland']"
"['How Many Drinks?', 'Miguel']"
"['Get Lucky', 'Daft Punk Featuring Pharrell Williams']"
"['The Sweet Escape', 'Gwen Stefani Featuring Akon']"
"['Imagine', 'Glee Cast']"
"['Lessons Learned', 'Tracy Lawrence']"
"['Freeze', 'T-Pain Featuring Chris Brown']"
"['Who Booty', 'Jonn Hart Featuring IamSU!']"
"['Magic', 'Coldplay']"
"[""I'll Take Her"", 'Ill Al Skratch Featuring Brian McKnight']"
"['Summer Love', 'Justin Timberlake']"
"['Drowning In Your Eyes', 'Ephraim Lewis']"
"['Slow Me Down', 'Sara Evans']"
"['Sugar', 'Flo Rida Featuring Wynter']"
"['Makes Me Wonder', 'Maroon 5']"
"['I Miss My Homies', 'Master P Featuring Pimp C And The Shocker']"
"[""Love Don't Live Here"", 'Lady Antebellum']"
"['The Cave', 'Mumford & Sons']"
"['Nasty Girl', 'Nitty']"
"['Love II Love', 'Damage']"
"['Second Round K.O.', 'Canibus']"
"['Missing You', 'Case']"
"['Sorry', 'Madonna']"
"['What Hurts The Most', 'Rascal Flatts']"
"['Paradise', 'LL Cool J Featuring Amerie']"
"['Its Every Night Sis', 'RiceGum Featuring Alissa Violet']"
"['Stay With Me (Brass Bed)', 'Josh Gracin']"
"['Stand By You', 'Rachel Platten']"
"['Heartbeat', 'Seduction']"
"['Are You Jimmy Ray?', 'Jimmy Ray']"
"['Tell Me You Love Me', 'Demi Lovato']"
"['Valentine', 'Martina McBride With Jim Brickman']"
"['Gummo', '6ix9ine']"
"['I Could Use A Love Song', 'Maren Morris']"
"['Madness', 'Muse']"
"['Uh Huh', 'B2K']"
"['One More Day', 'New Edition']"
"['Sweat (A La La La La Long)', 'Inner Circle']"
"['Happy', 'Ashanti']"
"['Go Flex', 'Post Malone']"
"['Hello Goodbye', 'Glee Cast']"
"['Glamorous', 'Fergie Featuring Ludacris']"
"['End Of The Road (From ""Boomerang"")', 'Boyz II Men']"
"[""I'm Sprung"", 'T-Pain']"
"['Love U More', 'Sunscreem']"
"['I Wanna Be There', 'Blessid Union Of Souls']"
"['While You Loved Me', 'Rascal Flatts']"
"['Best Days Of Your Life', 'Kellie Pickler']"
"[""She Ain't You"", 'Chris Brown']"
"['We Own It (Fast & Furious)', '2 Chainz & Wiz Khalifa']"
"['Never', 'Amanda Perez']"
"[""Ain't No Nigga/Dead Presidents"", 'Jay-Z Featuring Foxxy Brown']"
"['Your Body', 'Pretty Ricky']"
"['Mistletoe', 'Justin Bieber']"
"['I Never Told You', 'Colbie Caillat']"
"['The Love Song', 'Jeff Bates']"
"['Supa Star', 'Group Home']"
"['Just The Girl', 'The Click Five']"
"['Drowning', 'A Boogie Wit da Hoodie Featuring Kodak Black']"
"['Lights Come On', 'Jason Aldean']"
"['Constantly', 'Immature']"
"[""I'm Not A Player"", 'Big Punisher']"
"['What Makes You Country', 'Luke Bryan']"
"[""Mother's Pride"", 'George Michael']"
"['Slide', 'Calvin Harris Featuring Frank Ocean & Migos']"
"['Hillbilly Deluxe', 'Brooks & Dunn']"
"[""Don't Wanna Fall In Love"", 'Jane Child']"
"['Restless Heart', 'Peter Cetera']"
"['Because Of You', 'Kelly Clarkson']"
"[""You Can't Deny It"", 'Lisa Stansfield']"
"[""I Don't Want To Lose Your Love"", 'B Angie B']"
"['Raining On Sunday', 'Keith Urban']"
"['Incarcerated Scarfaces/Ice Cream', 'Raekwon']"
"['Like Toy Soldiers', 'Eminem']"
"['Shoota', 'Playboi Carti Featuring Lil Uzi Vert']"
"[""Swag Surfin'"", 'F.L.Y. (Fast Life Yungstaz)']"
"['Tell Me', 'Bobby Valentino']"
"['Long Trip Alone', 'Dierks Bentley']"
"['Closer To Free (From ""Party Of Five"")', 'BoDeans']"
"['Light In Your Eyes', 'Blessid Union Of Souls']"
"['Famous', 'Kanye West']"
"['One Minute Man', 'Missy ""Misdemeanor"" Elliott']"
"[""I Didn't Want To Need You"", 'Heart']"
"['In Love With A Girl', 'Gavin DeGraw']"
"['My Body Says Yes', 'Titiyo']"
"['Torn', 'LeToya']"
"['Tonight', 'New Kids On The Block']"
"['Apologize', 'Timbaland Featuring OneRepublic']"
"['Crawling In The Dark', 'Hoobastank']"
"['Saving Forever For You (From ""Beverly Hills, 90210"")', 'Shanice']"
"['Love In This Club Part II', 'Usher Featuring Beyonce & Lil Wayne']"
"['10 Bands', 'Drake']"
"[""Janie's Got A Gun"", 'Aerosmith']"
"['I Lived It', 'Blake Shelton']"
"['Who Said', 'Hannah Montana']"
"['Sure Thing', 'Miguel']"
"['Victorious', 'Panic! At The Disco']"
"[""You're The One"", 'SWV']"
"['If The Boot Fits', 'Granger Smith']"
"['Fancy', 'Iggy Azalea Featuring Charli XCX']"
"['F**k Love', 'XXXTENTACION Featuring Trippie Redd']"
"['Show Me How You Burlesque', 'Christina Aguilera']"
"['Power Of Love/Love Power', 'Luther Vandross']"
"['Sho Nuff', 'Tela Featuring Eightball & MJG']"
"['Love Story', 'Taylor Swift']"
"['You Showed Me', 'Salt-N-Pepa']"
"['Love King', 'The-Dream']"
"[""I Don't Care"", 'Ricky Martin Featuring Fat Joe & Amerie']"
"['Move Right Out', 'Rick Astley']"
"['You Gets No Love', 'Faith Evans']"
"['All That Matters', 'Justin Bieber']"
"[""You Don't Have To Hurt No More"", 'Mint Condition']"
"['Watermelon Crawl', 'Tracy Byrd']"
"['Jenny From The Block', 'Jennifer Lopez Featuring Styles & Jadakiss']"
"['Watch Out Now', 'The Beatnuts Featuring Yellaklaw']"
"['Take It From Me', 'Jordan Davis']"
"['Ooh!', 'Mary J. Blige']"
"['Untouchable', 'Eminem']"
"['Bandz A Make Her Dance', 'Juicy J Featuring Lil Wayne & 2 Chainz']"
"['Lie', 'NF']"
"['Pick Up The Phone', 'Young Thug And Travis Scott Featuring Quavo']"
"['Replay', 'Iyaz']"
"['I Got A Thang 4 Ya!', 'Lo-Key?']"
"['Sugar (Gimme Some)', ""Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo""]"
"['Between Me And You', 'Ja Rule Featuring Christina Milian']"
"['Solitude', 'Edwin McCain']"
"['Curve', 'Gucci Mane Featuring The Weeknd']"
"['When I See You Smile', 'Bad English']"
"['Satisfy You', 'Puff Daddy Featuring R. Kelly']"
"['Deeper Shade Of Soul', 'Urban Dance Squad']"
"['Satisfaction', 'Eve']"
"['Anything', '3T']"
"['Smooth', 'Santana Featuring Rob Thomas']"
"['Off The Books', 'The Beatnuts Featuring Big Punisher & Cuban Link']"
"['Exclusivity', 'Damian Dame']"
"['Only One', 'Kanye West Featuring Paul McCartney']"
"['Pickup Man', 'Joe Diffie']"
"[""It's America"", 'Rodney Atkins']"
"['Sympathy For The Devil (""Interview With The Vampire"")', ""Guns N' Roses""]"
"['Pick It Up', 'Famous Dex Featuring A$AP Rocky']"
"['Sandstorm', 'Darude']"
"['Can U Feel It', '3rd Party']"
"['Moneytalks', 'AC/DC']"
"['Right Where I Need To Be', 'Gary Allan']"
"['SOS', 'Rihanna']"
"['It Must Have Been Love (From ""Pretty Woman"")', 'Roxette']"
"['Everybody Wants To Go To Heaven', 'Kenny Chesney With The Wailers']"
"['Perdidos', 'Monchy & Alexandra']"
"['Wild Child', 'Kenny Chesney With Grace Potter']"
"['I Like It, I Love It', 'Tim McGraw']"
"['Just A Lil Bit', '50 Cent']"
"['Trying To Find Atlantis', ""Jamie O'Neal""]"
"[""It's Goin' Down"", 'Descendants 2 Cast']"
"['Whatever You Say', 'Martina McBride']"
"[""We're Not Making Love No More"", 'Dru Hill']"
"['Mr. Loverman (From ""Deep Cover"")', 'Shabba Ranks']"
"[""Who's Got Your Love"", 'Nyasia']"
"['Joyride', 'Roxette']"
"[""Stayin' Alive"", 'N-Trance']"
"['Slam', 'Onyx']"
"['Nothing On But The Radio', 'Gary Allan']"
"['Live It Up', 'Jennifer Lopez Featuring Pitbull']"
"['Wake Up', 'Fetty Wap']"
"['Turn It Up [Remix]/Fire It Up', 'Busta Rhymes']"
"['My Maria', 'Brooks & Dunn']"
"['I Never Knew Love', 'Doug Stone']"
"['Love Me Just For Me', 'Special Generation']"
"['Raging Fire', 'Phillip Phillips']"
"[""It's Over Now"", 'Deborah Cox']"
"['Someone You Used To Know', 'Collin Raye']"
"['Gossip Folks', 'Missy ""Misdemeanor"" Elliott Featuring Ludacris']"
"['Project Chick', 'Cash Money Millionaires']"
"['Speed', 'Alpha Team']"
"['Careless Whisper', 'Seether']"
"['Black Coffee', 'Heavy D & The Boyz']"
"['2 On', 'Tinashe Featuring ScHoolboy Q']"
"[""Lover's Eyes"", 'Mumford & Sons']"
"[""Old Time's Sake"", 'Eminem Featuring Dr. Dre']"
"['No Shopping', 'French Montana Featuring Drake']"
"['Need A Boss', 'Shareefa Featuring Ludacris']"
"['Money To Blow', 'Birdman Featuring Lil Wayne & Drake']"
"['Rest In Peace', 'Extreme']"
"['Bank Account', '21 Savage']"
"['Better Than I Used To Be', 'Tim McGraw']"
"['In My Head', 'Jason Derulo']"
"['Change Your Mind', 'Sister Hazel']"
"['Float On', 'Modest Mouse']"
"['Beauty And The Beast', 'Celine Dion And Peabo Bryson']"
"['Picture', 'Kid Rock Featuring Sheryl Crow']"
"['idontwannabeyouanymore', 'Billie Eilish']"
"['The Way You Move', 'OutKast Featuring Sleepy Brown']"
"['Come As You Are', 'Nirvana']"
"[""When God-Fearin' Women Get The Blues"", 'Martina McBride']"
"['Fergalicious', 'Fergie']"
"['Good Old Days', 'Macklemore Featuring Kesha']"
"['Sacrifices', 'Big Sean Featuring Migos']"
"['Real Hip Hop', 'Das EFX']"
"['Feel Again', 'OneRepublic']"
"[""I'm The One You Need"", 'Jody Watley']"
"['Buy Me A Rose', 'Kenny Rogers With Alison Krauss & Billy Dean']"
"['Bulletproof', 'La Roux']"
"['Everybody Hurts', 'R.E.M.']"
"['Puppy Love', 'Lil Bow Wow Featuring Jagged Edge']"
"['Dangerous', 'Kardinal Offishall Featuring Akon']"
"['A Year Without Rain', 'Selena Gomez & The Scene']"
"['It\'s Alright (From ""South Central"")', 'Classic Example']"
"[""Why Don't You & I"", 'Santana Featuring Alex Band Or Chad Kroeger']"
