title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections,hit
Can’t Believe It’s Over,Alan Friedman,17,0.456,0.893,7,-5.797,1,0.0561,0.0369,4.21E-06,0.306,0.633,136.28,259998,4,29.37472,9,1
"Sacral Chakra - Releasing Your Creative & Sexual Energies, a Guided Visualization",Goddess Reawakening,1,0.397,0.214,2,-14.417,0,0.0384,0.845,0.000657,0.28,0.252,101.518,3079158,3,61.74698,129,1
"Hey, Good Lookin' - Single Version",Hank Williams,57,0.789,0.25,7,-12.786,1,0.0413,0.874,0,0.125,0.87,141.076,175333,4,44.06681,8,1
Never Let You Go - 2008 Version,Third Eye Blind,67,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240,4,42.92495,11,1
All About Tonight,Blake Shelton,72,0.674,0.943,0,-3.413,1,0.0408,0.0159,0,0.504,0.856,118.06,205613,4,43.02447,7,1
Last Of A Dying Breed (co-starring Lil Wayne),Ludacris,76,0.523,0.925,11,-4.363,0,0.244,0.00852,0,0.365,0.351,106.829,249560,5,29.87244,7,1
We Be Burnin' (Recognize It),Sean Paul,81,0.95,0.803,1,-4.195,1,0.151,0.145,0,0.0748,0.86,117,213066,4,57.2589,9,1
Make It Hot (feat. Missy Elliott & Mocha),Nicole,36,0.76,0.458,7,-8.834,1,0.19,0.376,0.000229,0.143,0.581,84.08,267093,4,69.92915,11,1
Faithfully (Glee Cast Version),Glee Cast,74,0.412,0.54,4,-5.788,1,0.0289,0.144,0,0.111,0.0998,129.891,273867,4,33.09261,15,1
Push It to the Limit,Corbin Bleu,51,0.814,0.9,5,-3.318,0,0.0605,0.0112,2.01E-06,0.0631,0.761,125.988,196960,4,44.44551,10,1
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,83,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4,36.52339,12,1
Love Runs Out,OneRepublic,81,0.719,0.935,7,-3.752,1,0.0589,0.167,0,0.0973,0.738,120.022,224227,4,40.34864,11,1
Save Up All Your Tears,Cher,71,0.609,0.773,5,-9.166,1,0.0389,0.075,0,0.188,0.352,113.443,238160,4,37.6456,9,1
When Can I See You,Babyface,59,0.754,0.472,8,-11.787,1,0.0807,0.257,2.09E-05,0.121,0.613,169.199,229600,4,49.78116,10,1
Welcome to the Black Parade,My Chemical Romance,76,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4,26.45283,10,1
Baby I Love Your Way (From 'Reality Bites'),Hollywood Session Group,15,0.763,0.41,4,-12.672,1,0.0465,0.263,0,0.188,0.828,148.052,265434,4,31.69657,11,1
Right Now,Van Halen,72,0.529,0.662,5,-11.745,1,0.0273,0.153,0.00542,0.099,0.302,93.93,320867,4,37.27743,9,1
For You I Will,Aaron Tippin,52,0.625,0.601,1,-7.092,1,0.0291,0.186,0.00533,0.249,0.257,107.724,211733,4,151.26172,6,1
Later On,The Swon Brothers,40,0.411,0.903,2,-2.948,1,0.144,0.0544,0,0.104,0.614,180.078,217160,4,21.55313,12,1
Ain't Leavin' without You,j'san,66,0.65,0.283,9,-9.659,1,0.0332,0.848,0.912,0.195,0.275,77.028,149625,4,54.56579,6,1
Friends,John Michael Montgomery,59,0.62,0.401,9,-10.279,1,0.0288,0.23,0,0.0745,0.238,143.961,234000,4,25.64858,12,1
143,Bobby Brackins,48,0.834,0.758,11,-7.135,1,0.106,0.0113,0,0.0238,0.759,98.021,206813,4,19.05399,10,1
Murder She Wrote,Chaka Demus & Pliers,53,0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.947,95.103,245000,4,52.18347,13,1
Beep,The Pussycat Dolls,69,0.946,0.732,7,-6.38,1,0.0459,0.00922,0,0.118,0.542,103.691,229360,4,33.65796,13,1
I Met a Girl,William Michael Morgan,48,0.512,0.545,2,-10.154,1,0.0294,0.111,0.00177,0.135,0.346,83.94,201533,4,35.59297,8,1
The Arms of Orion,Prince,73,0.604,0.316,2,-14.674,1,0.0302,0.56,1.18E-05,0.0905,0.391,129.693,302973,4,29.31641,17,1
Groove Thang,Zhané,50,0.905,0.501,9,-7.215,0,0.0412,0.0237,0.00163,0.0727,0.829,102.035,236507,4,48.46975,10,1
One Night At A Time,George Strait,72,0.698,0.468,4,-11.757,1,0.0257,0.462,0.00147,0.0677,0.541,112.992,230933,4,86.96663,8,1
The Way I Live - Main Explicit,Baby Boy Da Prince,40,0.876,0.448,0,-8.303,1,0.267,0.0176,0,0.0862,0.72,90.019,324907,4,47.22198,13,1
Buddy X,Neneh Cherry,56,0.83,0.586,5,-8.457,1,0.0375,0.0832,4.24E-05,0.0797,0.678,102.864,169000,4,44.17359,8,1
Rise,Katy Perry,82,0.546,0.645,11,-6.4,1,0.0527,0.0397,0,0.107,0.457,101.578,203475,4,19.52819,11,1
Don’t Wanna Go Home,Dexter French,28,0.471,0.719,2,-7.582,1,0.0343,0.0255,0.00199,0.296,0.23,141.88,196317,4,26.2262,8,1
I Wanna Get Back With You,Tom Jones,62,0.359,0.622,6,-7.717,0,0.0357,0.474,1.30E-06,0.186,0.219,74.414,300120,4,37.6522,13,1
Hearts That Can’t Be Tamed,Nik Ammar,36,0.433,0.462,3,-6.239,1,0.031,0.225,0,0.232,0.219,120.048,174233,4,64.39011,7,1
Caught Up,Usher,80,0.817,0.806,6,-4.606,1,0.0623,0.027,9.00E-06,0.119,0.805,110.086,224640,4,40.06613,10,1
Thinkin Bout You,Frank Ocean,82,0.716,0.35,0,-11.094,1,0.0537,0.41,0.00134,0.0927,0.178,129.842,200747,4,42.1283,9,1
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,89,0.736,0.622,6,-4.653,0,0.133,0.0235,0,0.151,0.506,191.971,192779,4,62.60247,8,1
Lost Without U,Robin Thicke,66,0.664,0.351,0,-12.136,1,0.118,0.226,2.38E-06,0.106,0.816,113.204,254147,5,71.92873,13,1
So Help Me Girl,Gary Barlow,44,0.55,0.593,10,-6.926,1,0.0292,0.0258,0,0.188,0.48,169.979,270027,4,30.54536,13,1
I Need A Hot Girl,Hot Boys,35,0.817,0.791,2,-6.334,1,0.192,0.0611,0,0.632,0.641,96.003,292827,4,55.08563,11,1
"Sitting, Waiting, Wishing",Jack Johnson,78,0.764,0.559,0,-7.153,1,0.0265,0.247,3.05E-05,0.125,0.627,105.021,183720,4,27.77176,9,1
Unwell,Matchbox Twenty,68,0.442,0.793,9,-5.152,1,0.0347,0.0456,0,0.328,0.437,80.985,237267,4,89.46157,6,1
Scars To Your Beautiful,Alessia Cara,81,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,230227,4,39.64393,9,1
Dreamer - Janice Robinson Vocal,Livin' Joy,51,0.74,0.762,5,-7.166,0,0.0418,0.0131,0,0.283,0.832,127.372,223535,4,54.33883,7,1
Do You Sleep?,Lisa Loeb & Nine Stories,50,0.638,0.665,1,-7.258,0,0.031,0.046,5.80E-06,0.0509,0.248,90.425,233493,4,42.71624,9,1
Beautiful Mess,Diamond Rio,57,0.402,0.817,1,-3.756,1,0.0406,0.317,0,0.105,0.376,177.342,227920,4,37.79342,12,1
For The First Time,Darius Rucker,68,0.547,0.804,6,-5.268,1,0.0361,0.00738,0,0.0308,0.666,142.016,197053,4,61.04495,10,1
He Didn't Have to Be,Brad Paisley,69,0.476,0.443,9,-7.563,1,0.0282,0.105,7.97E-06,0.123,0.165,72.888,282227,4,39.81799,12,1
Take You Out - Radio Edit,Luther Vandross,65,0.752,0.575,8,-5.254,1,0.0549,0.077,0,0.125,0.569,86.004,206067,4,26.33943,9,1
Girl Like You,Jason Aldean,76,0.543,0.88,3,-4.204,0,0.0365,0.035,0.000227,0.304,0.483,144.057,193067,4,30.27863,8,1
I’m Moving To SA,D Lo Tha Krooked,15,0.657,0.691,1,-5.316,1,0.367,0.2,0,0.0979,0.407,166.046,175026,4,70.54166,8,1
Simon Says,Pharoahe Monch,53,0.683,0.916,1,-3.857,1,0.429,0.169,1.63E-05,0.126,0.553,93.488,173009,4,22.60783,6,1
My Wish,Rascal Flatts,71,0.549,0.801,4,-4.734,1,0.0312,0.0349,6.80E-06,0.102,0.471,135.724,248280,4,40.46177,11,1
Armed And Dangerous,Juice WRLD,91,0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,169999,4,62.0969,9,1
Dance with Me,112,67,0.912,0.511,9,-6.365,1,0.203,0.0259,0,0.0442,0.611,101.628,231800,4,21.9168,10,1
Rock The Party,Benzino,23,0.843,0.871,10,-5.796,0,0.142,0.29,0,0.0934,0.723,101.03,227933,4,36.2145,11,1
Don’t You Worry Child - acoustic,Tiffany Alvord,46,0.739,0.27,5,-8.802,0,0.0361,0.836,0,0.0982,0.216,120.908,172373,4,21.30765,10,1
Blowing Kisses In The Wind,Paula Abdul,55,0.524,0.544,6,-9.059,0,0.0337,0.574,0,0.236,0.261,147.674,281840,4,50.15384,13,1
Heaven,Kane Brown,77,0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,179507,4,24.9373,9,1
Cruise,Florida Georgia Line,83,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,21.74676,12,1
Cruise,Florida Georgia Line,83,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,21.74676,12,1
Cruise,Florida Georgia Line,83,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,21.74676,12,1
G’d Up,West Dour,0,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,21.74676,12,1
Didn’t I (Blow Your Mind This Time),Jimmy Ruffin,48,0.576,0.624,2,-5.922,1,0.0281,0.336,7.28E-06,0.338,0.766,77.662,183373,4,34.5921,10,1
Every Other Time - Radio Edit & Album Version,LFO,45,0.689,0.922,11,-4.56,1,0.0372,0.0143,0,0.335,0.72,103.975,247867,4,17.72377,13,1
Cruise,Florida Georgia Line,83,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,21.74676,12,1
G’d Up,West Dour,0,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,21.74676,12,1
Didn’t I (Blow Your Mind This Time),Jimmy Ruffin,48,0.576,0.624,2,-5.922,1,0.0281,0.336,7.28E-06,0.338,0.766,77.662,183373,4,34.5921,10,1
Every Other Time - Radio Edit & Album Version,LFO,45,0.689,0.922,11,-4.56,1,0.0372,0.0143,0,0.335,0.72,103.975,247867,4,17.72377,13,1
As We Lay,Shirley Murdock,38,0.421,0.323,8,-9.651,1,0.0452,0.436,0,0.156,0.16,72.288,359000,4,21.14897,14,1
Owe Me,Big Sean,82,0.611,0.611,8,-8.751,1,0.143,0.388,0,0.113,0.38,142.187,271693,4,53.69179,11,1
Better Than I Know Myself,Adam Lambert,62,0.484,0.812,10,-4.743,1,0.138,0.0322,0,0.18,0.308,109.452,216173,5,46.68532,9,1
Nann Nigga,Trick Daddy,59,0.837,0.819,2,-5.245,1,0.211,0.000507,0,0.323,0.643,149.918,167400,4,23.59781,9,1
Give It All We Got Tonight,George Strait,72,0.588,0.642,7,-6.986,1,0.0266,0.26,2.37E-06,0.08,0.324,130.36,251333,4,27.36929,12,1
Wasted Times,The Weeknd,89,0.562,0.674,10,-6.049,0,0.0851,0.622,2.04E-05,0.111,0.293,122.699,220293,4,31.97953,9,1
Let Me Let Go,Faith Hill,64,0.592,0.49,6,-8.053,1,0.0241,0.489,0,0.0967,0.29,91.775,264507,4,30.42004,12,1
Team,Lorde,77,0.696,0.59,6,-7.428,1,0.0904,0.151,0,0.247,0.462,99.984,193059,4,37.65442,8,1
Give It to Me,Agust D,58,0.539,0.751,8,-3.889,0,0.225,0.000833,1.05E-05,0.158,0.429,94.6,149525,4,30.30847,12,1
Chrome,Trace Adkins,60,0.474,0.924,9,-3.923,1,0.062,0.112,6.93E-06,0.229,0.774,179.746,201693,4,22.63658,10,1
By The Way,Red Hot Chili Peppers,84,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4,21.29431,10,1
Why Can't You Come Home,Ex-Girlfriend,6,0.777,0.47,7,-13.376,1,0.0412,0.00754,7.29E-05,0.0648,0.712,103.452,348600,4,88.2523,14,1
Party Rock Anthem,LMFAO,66,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,262173,4,58.70723,11,1
Don’t Stop Movin,X & Hell,2,0.69,0.68,1,-5.513,0,0.0301,0.00944,2.27E-05,0.456,0.557,129.998,241947,4,46.70344,11,1
Fields Of Gold,Sting,70,0.649,0.308,2,-13.086,1,0.0261,0.359,0.0443,0.0757,0.341,103.975,222240,4,21.91023,15,1
Cowboy Take Me Away,Dixie Chicks,66,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,287267,4,24.23904,15,1
Hey Luv (Anything) - Unedited Version,Mobb Deep,68,0.833,0.68,7,-5.408,1,0.227,0.157,0,0.189,0.641,98.996,242093,4,43.18103,10,1
Going Bad (feat. Drake),Meek Mill,86,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4,44.89442,8,1
"thank u, next",Ariana Grande,100,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4,126.41228,6,1
You Only Have To Say You Love Me (Almighty Anthem Radio Edit),Hannah Jones,16,0.629,0.969,0,-6.738,1,0.0408,0.00185,1.58E-06,0.0816,0.617,128.029,220547,4,51.5295,11,1
Come with Me Now,KONGOS,59,0.654,0.726,10,-3.803,0,0.0401,0.0311,6.35E-05,0.0618,0.728,103.987,211960,4,19.44797,12,1
I Don't Wanna See You,Michael Morales,11,0.677,0.734,7,-9.722,1,0.0287,0.0237,0,0.0523,0.726,124.851,247800,4,36.53555,13,1
Emotional,Carl Thomas,51,0.548,0.542,1,-8.435,0,0.0409,0.544,0,0.148,0.389,83.106,271868,4,62.29601,10,1
Twilight Zone,2 Unlimited,54,0.7,0.99,3,-7.559,0,0.0499,0.0873,0.00211,0.151,0.77,127.884,248197,4,31.12469,15,1
Missing - 2013 Remaster,Everything But The Girl,56,0.677,0.484,9,-10.506,0,0.0324,0.077,4.75E-05,0.135,0.697,123.534,247200,4,33.21483,10,1
Me And My Broken Heart,Rixton,61,0.544,0.774,5,-4.21,0,0.0339,0.00682,0,0.135,0.522,174.121,193733,4,24.53865,8,1
She Was a Lady,Dave Coppock,0,0.205,0.638,0,-11.581,1,0.0459,0.0703,0.000292,0.452,0.73,150.678,189301,4,17.55682,11,1
Country Boy,Alan Jackson,71,0.73,0.684,9,-10.803,1,0.0351,0.259,1.53E-06,0.111,0.564,139.037,246080,4,28.51132,11,1
No Diggity,Blackstreet,65,0.868,0.646,1,-4.674,0,0.288,0.303,0,0.284,0.67,88.641,304600,4,46.92651,13,1
My Love Is Your Love,Whitney Houston,76,0.77,0.475,7,-9.512,1,0.159,0.0557,4.81E-06,0.0607,0.474,82.511,261573,4,26.35996,11,1
Stand,Poison,64,0.409,0.804,8,-6.473,1,0.0356,0.0433,8.80E-05,0.0917,0.422,185.882,315773,4,33.26119,13,1
I’m So Upset,Death Magnet,0,0.628,0.723,1,-9.618,1,0.451,0.0172,0.348,0.0984,0.58,109.991,207974,4,70.38222,9,1
Lonely Boy,The Black Keys,73,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,193653,4,26.97833,11,1
I’m Not The Only One,Scott Bradlee's Postmodern Jukebox,65,0.347,0.659,5,-5.289,1,0.0717,0.55,2.41E-06,0.192,0.648,201.044,201875,4,30.94096,9,1
Voices,Chris Young,70,0.552,0.788,0,-4.112,1,0.0525,0.38,0,0.15,0.641,76.528,186107,4,63.91567,5,1
Housecall,Shabba Ranks,48,0.767,0.479,11,-13.342,1,0.253,0.0621,0,0.0531,0.833,81.427,237493,4,25.21454,7,1
Bad Boys (Theme from COPS),Inner Circle,60,0.781,0.722,7,-8.376,1,0.0668,0.236,0.00042,0.077,0.532,87.862,229375,4,47.60154,10,1
The Story Of Us,Taylor Swift,87,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667,4,18.2213,13,1
Slow And Easy,Zapp,54,0.759,0.66,5,-8.964,1,0.0658,0.105,0,0.114,0.778,140.68,311333,4,66.34841,14,1
Southern Voice,Tim McGraw,73,0.63,0.877,9,-4.106,1,0.0321,0.0446,0,0.113,0.758,112.051,242427,4,59.40747,9,1
The World I Know,Collective Soul,61,0.514,0.704,2,-4.724,1,0.0261,0.0515,0.00219,0.228,0.386,76.975,255467,4,25.16962,10,1
Over You,Daughtry,66,0.423,0.922,3,-2.602,1,0.0411,0.017,0,0.102,0.567,156.063,204853,4,23.03406,11,1
What Makes It Easy,Failure,43,0.709,0.54,8,-9.441,1,0.0269,0.247,0.586,0.105,0.374,122.042,203371,3,53.92526,9,1
Moves,Big Sean,82,0.789,0.53,2,-6.2,1,0.293,0.0541,0,0.164,0.367,75.515,142907,4,42.2451,6,1
7 Years,Lukas Graham,78,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,237300,4,20.92116,11,1
Get Up On It,Kut Klose,46,0.662,0.567,2,-8.331,0,0.0301,0.064,2.18E-05,0.121,0.632,124.787,304960,4,42.22378,12,1
I Wanna Make You Close Your Eyes,Dierks Bentley,71,0.599,0.61,1,-5.745,1,0.0232,0.104,4.83E-05,0.115,0.359,95.979,239119,4,33.35001,10,1
Come & Get It,Selena Gomez,87,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987,4,87.20596,6,1
Blow Me (One Last Kiss),P!nk,81,0.597,0.919,7,-2.954,1,0.044,0.000145,0,0.282,0.73,113.987,255587,4,31.5061,10,1
No Smoke,YoungBoy Never Broke Again,84,0.658,0.736,9,-6.097,0,0.308,0.113,0,0.0978,0.804,143.966,160000,4,60.44324,7,1
Hold It Against Me,Britney Spears,79,0.648,0.722,0,-4.813,0,0.0427,0.0103,0,0.24,0.389,132.973,228827,4,38.19643,10,1
Come Inside,Intro,37,0.735,0.447,4,-15.942,0,0.0609,0.0114,0,0.305,0.619,135.999,489733,4,26.44448,20,1
New Rules,Dua Lipa,89,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56E-05,0.153,0.608,116.073,209320,4,25.18913,10,1
Falsetto,The-Dream,68,0.728,0.557,0,-4.467,1,0.0317,0.152,2.27E-05,0.113,0.512,131.018,271173,4,34.84906,14,1
The Bomb! (These Sounds Fall Into My Mind),The Bucketheads,45,0.781,0.881,9,-3.804,0,0.0423,0.0119,0.389,0.0797,0.868,125.935,203827,4,35.52075,11,1
All The Way Up,Fat Joe,69,0.536,0.721,10,-6.44,0,0.386,0.062,0,0.824,0.393,117.139,191942,5,44.70023,8,1
Angel,Natasha Bedingfield,66,0.566,0.749,2,-4.435,1,0.0507,0.0574,0,0.388,0.503,134.909,246947,4,101.60279,10,1
The Winner Takes It All,ABBA,77,0.457,0.785,6,-6.783,1,0.0383,0.548,0.000781,0.082,0.522,126.947,294733,4,33.00407,12,1
Special,Garbage,60,0.463,0.907,5,-6.345,0,0.0396,5.39E-05,0.0234,0.203,0.49,131.858,223614,4,36.48583,11,1
As If,Sara Evans,56,0.568,0.861,4,-4.948,1,0.0482,0.000385,0.0209,0.165,0.532,118.933,210627,4,34.44764,9,1
Rainbow,Kacey Musgraves,76,0.581,0.197,3,-7.697,1,0.0329,0.88,0,0.107,0.349,130.367,214293,4,31.46646,11,1
Californication,Red Hot Chili Peppers,84,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4,21.97563,15,1
Make Me Proud,Drake,97,0.684,0.486,1,-10.155,1,0.132,0.00268,0.000148,0.157,0.355,131.913,219893,4,57.42572,10,1
Ready (feat. Gunna),Lil Baby,89,0.793,0.395,1,-5.578,1,0.385,0.277,1.40E-05,0.109,0.129,77.027,213287,4,137.16849,6,1
Still Into You,Paramore,77,0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,216013,4,46.33848,7,1
How Can We Be Lovers,Michael Bolton,66,0.605,0.753,11,-4.793,0,0.0279,0.234,0,0.175,0.672,106.043,216696,4,32.50105,11,1
No Ordinary Love,Sade,70,0.629,0.364,11,-12.259,0,0.038,0.468,0.0198,0.0941,0.699,166.254,440467,4,36.34936,21,1
Feel No Ways,Drake,97,0.589,0.673,7,-7.082,1,0.167,0.0319,5.68E-06,0.108,0.209,193.783,240653,4,96.07486,8,1
Green Light,Lorde,77,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55E-06,0.0879,0.253,128.942,234653,4,30.51199,11,1
By the Time This Night Is Over,Kenny G,64,0.645,0.439,0,-12.43,0,0.037,0.0988,0,0.279,0.472,103.872,260773,4,27.14432,13,1
Get Buck,Young Buck,62,0.791,0.656,1,-6.058,0,0.187,0.503,0,0.0371,0.606,76.505,254493,4,18.91216,9,1
You’re Not Alone,Owl City,70,0.624,0.627,8,-6.168,1,0.0322,0.0538,0,0.172,0.357,84.004,235119,4,23.12431,11,1
Sober,Demi Lovato,84,0.397,0.303,1,-10.413,1,0.11,0.798,4.16E-06,0.0824,0.17,170.22,197893,3,34.53161,10,1
Five More Minutes,Scotty McCreery,65,0.517,0.652,7,-6.153,1,0.0323,0.325,0,0.109,0.333,156.07,238954,4,48.54719,11,1
Chained To The Rhythm,Katy Perry,82,0.446,0.8,0,-5.404,1,0.174,0.0814,0,0.199,0.474,189.89,237733,4,30.93229,10,1
Die A Happy Man,Thomas Rhett,76,0.66,0.383,2,-9.377,1,0.0304,0.381,0,0.119,0.381,83.096,227427,4,18.99965,12,1
There You Have It,BlackHawk,51,0.711,0.667,4,-5.75,1,0.0258,0.218,0,0.354,0.777,113.655,192267,4,47.53407,9,1
Strawberry Wine,Deana Carter,50,0.558,0.435,1,-6.812,1,0.0264,0.302,0,0.0351,0.199,122.385,290467,3,35.1781,14,1
Last Night's Letter,K-Ci & JoJo,60,0.671,0.68,0,-3.875,0,0.0345,0.295,0,0.543,0.384,131.905,277000,4,30.71763,12,1
Stand Up (Kick Love Into Motion),Def Leppard,69,0.603,0.779,4,-7.479,1,0.0273,0.0854,1.58E-05,0.0628,0.792,103.027,272871,4,28.23034,13,1
One Thing,One Direction,82,0.711,0.721,2,-3.79,1,0.0282,0.00224,0,0.0525,0.675,126.988,197187,4,49.09304,8,1
When Will I See You Smile Again?,Bell Biv DeVoe,56,0.715,0.414,6,-11.919,0,0.0277,0.0496,0.000735,0.0688,0.321,124.043,307133,4,30.31305,12,1
Forever More,Stevie B,49,0.612,0.794,10,-11.589,0,0.0497,0.157,6.35E-05,0.121,0.765,107.988,252693,4,22.99022,14,1
Don’t Stop The Party,The Black Eyed Peas,77,0.868,0.761,0,-6.088,1,0.0708,0.0291,3.34E-06,0.113,0.707,128.014,367413,4,27.90607,16,1
Pyramid Song,Radiohead,78,0.127,0.335,11,-8.298,0,0.0329,0.786,0.427,0.111,0.0686,77.078,288733,4,35.41648,11,1
Go Flex,Post Malone,95,0.665,0.498,5,-8.185,1,0.0831,0.228,0,0.0757,0.127,81.967,179613,4,33.74185,11,1
Pop Style,Drake,97,0.718,0.458,4,-10.024,0,0.117,0.187,3.43E-06,0.105,0.0514,132.998,212947,4,29.82487,10,1
Cowboy Casanova,Carrie Underwood,72,0.597,0.82,5,-2.529,1,0.0582,0.0328,0,0.119,0.576,119.969,236787,4,22.6379,9,1
The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber,87,0.265,0.436,9,-9.542,0,0.0411,0.45,0,0.102,0.159,69.047,215160,4,16.33695,10,1
The Invisible Man - Remastered 2011,Queen,93,0.71,0.8,0,-6.815,1,0.0396,0.196,0.0107,0.333,0.652,120.015,237680,4,50.54299,11,1
Float On,Modest Mouse,66,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23E-06,0.0888,0.553,100.975,208467,4,17.61032,10,1
Do It Again Put Ya Hands Up - Instrumental Hip Hop Rap Rnb Dirty South Freestyle Mixtape Dj Reggaeton 2011,Best Instrumentals Beats and Ringtones,8,0.655,0.289,0,-15.504,1,0.0955,0.301,0.903,0.112,0.567,161.945,213345,4,21.54103,8,1
I Believe I Can Fly (From 'Space Jam'),Dan Hill,47,0.566,0.236,7,-17.7,1,0.0328,0.257,0,0.103,0.039,120.04,322880,4,32.96533,12,1
Tonight Is The Night,Le Click,34,0.846,0.72,11,-7.096,0,0.0506,0.00495,1.69E-05,0.329,0.864,133.657,233467,4,29.39558,12,1
B.M.F. (Blowin' Money Fast),Rick Ross,78,0.721,0.863,2,-4.226,1,0.0558,0.0174,0,0.178,0.35,139.981,250307,4,29.19224,13,1
Tom’s Diner,Thomas Anthony,24,0.644,0.801,6,-4.713,0,0.0253,0.0191,0.00513,0.389,0.12,101.994,251765,4,59.425,8,1
Deuces,Chris Brown,88,0.644,0.739,1,-5.103,1,0.137,0.0311,0,0.0772,0.231,74.154,277013,4,27.01784,11,1
Twerk (feat. Cardi B),City Girls,70,0.788,0.841,4,-4.006,0,0.143,0.122,0.0011,0.166,0.493,190.089,166476,4,30.61365,13,1
